image_path,label
combined/combined_11543.jpg,1
combined/combined_24617.jpg,0
combined/combined_29817.jpg,1
combined/combined_12573.jpg,1
combined/combined_33409.jpg,0
combined/combined_734.jpg,1
combined/combined_9992.jpg,1
combined/combined_33258.jpg,0
combined/combined_19070.jpg,0
combined/combined_24692.jpg,0
combined/combined_13959.jpg,1
combined/combined_6066.jpg,1
combined/combined_3122.jpg,1
combined/combined_4775.jpg,1
combined/combined_6189.jpg,1
combined/combined_9244.jpg,1
combined/combined_21223.jpg,0
combined/combined_33922.jpg,0
combined/combined_6355.jpg,1
combined/combined_16652.jpg,0
combined/combined_33825.jpg,0
combined/combined_8326.jpg,1
combined/combined_20498.jpg,0
combined/combined_1487.jpg,1
combined/combined_15417.jpg,0
combined/combined_24032.jpg,0
combined/combined_26271.jpg,1
combined/combined_12571.jpg,1
combined/combined_28212.jpg,1
combined/combined_10953.jpg,1
combined/combined_843.jpg,1
combined/combined_8090.jpg,1
combined/combined_31708.jpg,0
combined/combined_19095.jpg,0
combined/combined_13689.jpg,1
combined/combined_7225.jpg,1
combined/combined_6883.jpg,1
combined/combined_12794.jpg,1
combined/combined_32542.jpg,0
combined/combined_13083.jpg,1
combined/combined_15685.jpg,0
combined/combined_7475.jpg,1
combined/combined_8124.jpg,1
combined/combined_30234.jpg,1
combined/combined_10020.jpg,1
combined/combined_24035.jpg,0
combined/combined_24462.jpg,0
combined/combined_30625.jpg,0
combined/combined_15110.jpg,0
combined/combined_20971.jpg,0
combined/combined_8040.jpg,1
combined/combined_1157.jpg,1
combined/combined_20830.jpg,0
combined/combined_35196.jpg,0
combined/combined_26913.jpg,1
combined/combined_29572.jpg,1
combined/combined_29025.jpg,1
combined/combined_3337.jpg,1
combined/combined_18337.jpg,0
combined/combined_13216.jpg,1
combined/combined_2168.jpg,1
combined/combined_20280.jpg,0
combined/combined_25968.jpg,1
combined/combined_10478.jpg,1
combined/combined_17627.jpg,0
combined/combined_8357.jpg,1
combined/combined_31364.jpg,0
combined/combined_5225.jpg,1
combined/combined_7817.jpg,1
combined/combined_16309.jpg,0
combined/combined_27944.jpg,1
combined/combined_1837.jpg,1
combined/combined_21022.jpg,0
combined/combined_28178.jpg,1
combined/combined_8280.jpg,1
combined/combined_33967.jpg,0
combined/combined_20326.jpg,0
combined/combined_15540.jpg,0
combined/combined_30546.jpg,0
combined/combined_14623.jpg,1
combined/combined_12738.jpg,1
combined/combined_35290.jpg,0
combined/combined_25194.jpg,1
combined/combined_19430.jpg,0
combined/combined_13441.jpg,1
combined/combined_3059.jpg,1
combined/combined_1590.jpg,1
combined/combined_12868.jpg,1
combined/combined_7820.jpg,1
combined/combined_10328.jpg,1
combined/combined_15845.jpg,0
combined/combined_32315.jpg,0
combined/combined_5676.jpg,1
combined/combined_12988.jpg,1
combined/combined_10092.jpg,1
combined/combined_11793.jpg,1
combined/combined_15314.jpg,0
combined/combined_21173.jpg,0
combined/combined_13590.jpg,1
combined/combined_20787.jpg,0
combined/combined_13344.jpg,1
combined/combined_32141.jpg,0
combined/combined_2744.jpg,1
combined/combined_25024.jpg,1
combined/combined_16321.jpg,0
combined/combined_12756.jpg,1
combined/combined_18020.jpg,0
combined/combined_1857.jpg,1
combined/combined_26304.jpg,1
combined/combined_19218.jpg,0
combined/combined_33809.jpg,0
combined/combined_6719.jpg,1
combined/combined_22759.jpg,0
combined/combined_27841.jpg,1
combined/combined_28204.jpg,1
combined/combined_34528.jpg,0
combined/combined_31047.jpg,0
combined/combined_23900.jpg,0
combined/combined_9164.jpg,1
combined/combined_32911.jpg,0
combined/combined_19463.jpg,0
combined/combined_23465.jpg,0
combined/combined_28545.jpg,1
combined/combined_3513.jpg,1
combined/combined_15758.jpg,0
combined/combined_24073.jpg,0
combined/combined_16731.jpg,0
combined/combined_30312.jpg,1
combined/combined_33508.jpg,0
